,Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
283,Wayne Ellington,DET,vs.PHI,2021-01-23,L,28,17,6,9,66.7,4,6,66.7,1,2,50.0,1,3,4,2,2,0,1,0,-14,2020-21
284,Ed Davis,MIN,vs.NOP,2021-01-23,W,19,2,1,1,100,0,0,-,0,0,-,4,5,9,3,2,0,0,5,5,2020-21
285,JJ Redick,NOP,@MIN,2021-01-23,L,11,0,0,6,0.0,0,6,0.0,0,0,-,0,1,1,2,0,0,0,0,-2,2020-21
286,Jaden McDaniels,MIN,vs.NOP,2021-01-23,W,20,3,1,7,14.3,1,3,33.3,0,0,-,0,3,3,1,0,2,1,4,5,2020-21
287,Naz Reid,MIN,vs.NOP,2021-01-23,W,27,20,5,10,50.0,2,4,50.0,8,8,100,1,3,4,2,0,1,1,4,8,2020-21
288,Jarred Vanderbilt,MIN,vs.NOP,2021-01-23,W,21,16,8,13,61.5,0,0,-,0,0,-,5,6,11,0,2,1,0,1,7,2020-21
289,Josh Okogie,MIN,vs.NOP,2021-01-23,W,27,9,2,8,25.0,1,5,20.0,4,5,80.0,1,2,3,2,5,0,1,1,1,2020-21
290,Malik Beasley,MIN,vs.NOP,2021-01-23,W,31,16,6,18,33.3,2,8,25.0,2,2,100,1,5,6,3,0,0,0,1,2,2020-21
291,Ricky Rubio,MIN,vs.NOP,2021-01-23,W,28,9,1,4,25.0,0,1,0.0,7,10,70.0,1,6,7,7,1,0,4,2,2,2020-21
292,Lonzo Ball,NOP,@MIN,2021-01-23,L,30,11,4,10,40.0,3,9,33.3,0,0,-,0,4,4,7,2,1,1,3,-6,2020-21
293,Anthony Edwards,MIN,vs.NOP,2021-01-23,W,20,18,5,14,35.7,2,7,28.6,6,6,100,0,1,1,1,2,0,2,0,9,2020-21
294,Nickeil Alexander-Walker,NOP,@MIN,2021-01-23,L,21,10,3,6,50.0,1,4,25.0,3,3,100,0,3,3,1,0,0,2,3,-10,2020-21
295,Jaxson Hayes,NOP,@MIN,2021-01-23,L,17,2,1,1,100,0,0,-,0,2,0.0,1,2,3,1,1,1,3,1,-8,2020-21
296,Jarrett Culver,MIN,vs.NOP,2021-01-23,W,25,16,6,9,66.7,2,4,50.0,2,4,50.0,0,5,5,0,1,0,0,4,1,2020-21
297,Zion Williamson,NOP,@MIN,2021-01-23,L,38,19,6,16,37.5,0,1,0.0,7,9,77.8,4,7,11,3,1,1,2,3,-4,2020-21
298,Brandon Ingram,NOP,@MIN,2021-01-23,L,37,30,11,20,55.0,2,7,28.6,6,6,100,0,4,4,2,0,1,7,5,-4,2020-21
299,Steven Adams,NOP,@MIN,2021-01-23,L,23,5,2,3,66.7,0,0,-,1,2,50.0,3,0,3,2,0,0,3,3,-10,2020-21
300,Eric Bledsoe,NOP,@MIN,2021-01-23,L,34,28,11,23,47.8,3,5,60.0,3,6,50.0,1,4,5,3,1,0,1,1,-6,2020-21
301,Jordan McLaughlin,MIN,vs.NOP,2021-01-23,W,20,11,4,7,57.1,2,2,100,1,2,50.0,1,0,1,4,1,0,2,0,10,2020-21
302,Josh Hart,NOP,@MIN,2021-01-23,L,29,5,2,2,100,1,1,100,0,0,-,1,7,8,0,0,0,1,5,0,2020-21
303,Jevon Carter,PHX,vs.DEN,2021-01-22,L,7,3,1,3,33.3,1,3,33.3,0,0,-,0,0,0,0,0,0,0,1,-5,2020-21
304,Abdel Nader,PHX,vs.DEN,2021-01-22,L,19,9,4,7,57.1,1,2,50.0,0,0,-,0,3,3,0,1,0,1,2,-5,2020-21
305,Cameron Payne,PHX,vs.DEN,2021-01-22,L,16,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,1,0,1,3,1,0,2020-21
306,Frank Kaminsky,PHX,vs.DEN,2021-01-22,L,16,8,3,5,60.0,2,4,50.0,0,0,-,0,4,4,2,0,1,0,1,-8,2020-21
307,Jae Crowder,PHX,vs.DEN,2021-01-22,L,19,8,2,7,28.6,2,5,40.0,2,2,100,0,1,1,1,2,0,2,3,10,2020-21
308,Facundo Campazzo,DEN,@PHX,2021-01-22,W,7,0,0,0,-,0,0,-,0,0,-,0,0,0,1,1,0,0,0,7,2020-21
309,Michael Porter Jr.,DEN,@PHX,2021-01-22,W,20,7,3,7,42.9,1,4,25.0,0,0,-,0,6,6,2,1,0,0,1,9,2020-21
310,PJ Dozier,DEN,@PHX,2021-01-22,W,14,6,3,5,60.0,0,2,0.0,0,0,-,0,3,3,2,1,0,0,1,2,2020-21
311,JaMychal Green,DEN,@PHX,2021-01-22,W,19,3,1,6,16.7,1,3,33.3,0,0,-,0,3,3,2,1,0,0,1,6,2020-21
312,Paul Millsap,DEN,@PHX,2021-01-22,W,20,12,4,7,57.1,0,1,0.0,4,4,100,3,2,5,0,1,0,0,0,-10,2020-21
313,Nikola Jokic,DEN,@PHX,2021-01-22,W,40,31,15,27,55.6,1,3,33.3,0,1,0.0,6,4,10,8,3,0,3,4,-13,2020-21
314,Chris Paul,PHX,vs.DEN,2021-01-22,L,39,11,5,15,33.3,1,5,20.0,0,0,-,0,4,4,15,1,0,4,5,-9,2020-21
315,Devin Booker,PHX,vs.DEN,2021-01-22,L,40,31,11,21,52.4,3,9,33.3,6,6,100,0,5,5,5,1,1,5,3,10,2020-21
316,Jamal Murray,DEN,@PHX,2021-01-22,W,40,18,8,19,42.1,0,5,0.0,2,2,100,1,6,7,9,3,1,4,4,8,2020-21
317,Monte Morris,DEN,@PHX,2021-01-22,W,32,17,6,10,60.0,1,3,33.3,4,4,100,0,3,3,3,1,0,1,0,17,2020-21
318,Mikal Bridges,PHX,vs.DEN,2021-01-22,L,41,24,8,15,53.3,6,8,75.0,2,2,100,2,8,10,4,1,1,0,1,-3,2020-21
319,Deandre Ayton,PHX,vs.DEN,2021-01-22,L,37,27,11,13,84.6,0,1,0.0,5,5,100,6,7,13,1,1,0,0,3,4,2020-21
320,Cameron Johnson,PHX,vs.DEN,2021-01-22,L,32,5,2,7,28.6,1,6,16.7,0,0,-,1,2,3,1,0,0,1,3,-14,2020-21
321,Will Barton,DEN,@PHX,2021-01-22,W,33,17,5,10,50.0,1,2,50.0,6,6,100,0,4,4,2,0,0,1,1,-5,2020-21
322,Gary Harris,DEN,@PHX,2021-01-22,W,39,19,8,12,66.7,1,3,33.3,2,2,100,0,2,2,3,0,0,0,3,-1,2020-21
323,Immanuel Quickley,NYK,@SAC,2021-01-22,L,17,8,3,9,33.3,1,4,25.0,1,2,50.0,0,1,1,2,0,3,2,2,6,2020-21
324,Tyrese Haliburton,SAC,vs.NYK,2021-01-22,W,31,16,7,13,53.8,2,7,28.6,0,0,-,1,4,5,2,2,4,3,1,1,2020-21
325,Obi Toppin,NYK,@SAC,2021-01-22,L,12,6,3,7,42.9,0,2,0.0,0,1,0.0,2,3,5,1,0,0,1,1,-4,2020-21
326,Chimezie Metu,SAC,vs.NYK,2021-01-22,W,11,2,1,1,100,0,0,-,0,0,-,2,3,5,0,1,2,1,4,-5,2020-21
327,Kevin Knox II,NYK,@SAC,2021-01-22,L,12,5,2,6,33.3,1,3,33.3,0,0,-,1,0,1,1,1,0,0,1,2,2020-21
328,Buddy Hield,SAC,vs.NYK,2021-01-22,W,29,11,4,11,36.4,3,6,50.0,0,0,-,0,6,6,2,1,0,2,3,12,2020-21
329,Glenn Robinson III,SAC,vs.NYK,2021-01-22,W,14,3,1,7,14.3,1,4,25.0,0,0,-,1,0,1,1,0,0,0,1,-7,2020-21
330,Nerlens Noel,NYK,@SAC,2021-01-22,L,19,0,0,1,0.0,0,0,-,0,2,0.0,3,4,7,1,1,0,0,1,4,2020-21
331,Reggie Bullock,NYK,@SAC,2021-01-22,L,21,0,0,3,0.0,0,1,0.0,0,0,-,0,3,3,2,0,0,0,3,-13,2020-21
332,Harrison Barnes,SAC,vs.NYK,2021-01-22,W,35,21,5,13,38.5,2,6,33.3,9,9,100,0,8,8,7,1,0,0,2,14,2020-21
333,Elfrid Payton,NYK,@SAC,2021-01-22,L,31,7,3,12,25.0,0,1,0.0,1,1,100,1,2,3,3,0,1,0,5,-15,2020-21
334,RJ Barrett,NYK,@SAC,2021-01-22,L,36,21,8,17,47.1,2,2,100,3,3,100,2,5,7,3,0,0,3,4,-11,2020-21
335,De'Aaron Fox,SAC,vs.NYK,2021-01-22,W,37,22,7,20,35.0,3,7,42.9,5,8,62.5,0,3,3,7,1,1,0,3,9,2020-21
336,Julius Randle,NYK,@SAC,2021-01-22,L,36,26,8,17,47.1,0,4,0.0,10,11,90.9,1,14,15,4,0,0,2,2,-5,2020-21
337,Richaun Holmes,SAC,vs.NYK,2021-01-22,W,37,10,5,8,62.5,0,0,-,0,0,-,3,11,14,0,0,6,0,4,14,2020-21
338,Marvin Bagley III,SAC,vs.NYK,2021-01-22,W,31,10,5,12,41.7,0,2,0.0,0,2,0.0,4,7,11,0,0,1,0,6,16,2020-21
339,Mitchell Robinson,NYK,@SAC,2021-01-22,L,29,12,6,8,75.0,0,0,-,0,1,0.0,5,5,10,0,0,1,2,1,-13,2020-21
340,Alec Burks,NYK,@SAC,2021-01-22,L,27,9,3,14,21.4,1,5,20.0,2,4,50.0,1,4,5,2,0,1,1,1,4,2020-21
341,Cory Joseph,SAC,vs.NYK,2021-01-22,W,15,8,3,6,50.0,1,2,50.0,1,2,50.0,1,1,2,2,0,0,0,1,-9,2020-21
342,Luke Kennard,LAC,vs.OKC,2021-01-22,W,16,2,1,7,14.3,0,5,0.0,0,0,-,0,1,1,0,0,1,0,0,-7,2020-21
343,Terance Mann,LAC,vs.OKC,2021-01-22,W,1,0,0,1,0.0,0,0,-,0,0,-,0,1,1,1,0,0,0,0,1,2020-21
344,Mfiondu Kabengele,LAC,vs.OKC,2021-01-22,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,1,2020-21
345,Daniel Oturu,LAC,vs.OKC,2021-01-22,W,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,2020-21
346,George Hill,OKC,@LAC,2021-01-22,L,30,12,5,9,55.6,2,5,40.0,0,0,-,1,4,5,1,0,0,2,0,-4,2020-21
347,Shai Gilgeous-Alexander,OKC,@LAC,2021-01-22,L,39,30,11,20,55.0,2,5,40.0,6,6,100,0,3,3,8,2,0,3,2,-10,2020-21
348,Darius Bazley,OKC,@LAC,2021-01-22,L,33,8,3,8,37.5,2,6,33.3,0,2,0.0,0,4,4,1,0,0,0,0,-12,2020-21
349,Luguentz Dort,OKC,@LAC,2021-01-22,L,32,19,7,13,53.8,3,7,42.9,2,3,66.7,0,3,3,1,0,0,2,4,-3,2020-21
350,Isaiah Roby,OKC,@LAC,2021-01-22,L,28,8,4,6,66.7,0,2,0.0,0,0,-,1,3,4,2,1,0,0,3,3,2020-21
351,Kenrich Williams,OKC,@LAC,2021-01-22,L,9,0,0,1,0.0,0,1,0.0,0,0,-,2,1,3,1,1,0,0,2,-4,2020-21
352,Hamidou Diallo,OKC,@LAC,2021-01-22,L,19,10,4,8,50.0,0,1,0.0,2,2,100,0,2,2,4,1,0,1,2,-12,2020-21
353,Ivica Zubac,LAC,vs.OKC,2021-01-22,W,15,8,3,4,75.0,0,0,-,2,2,100,1,5,6,0,0,1,0,3,14,2020-21
354,Mike Muscala,OKC,@LAC,2021-01-22,L,16,11,4,11,36.4,3,9,33.3,0,0,-,0,0,0,1,2,0,1,2,-11,2020-21
355,Marcus Morris Sr.,LAC,vs.OKC,2021-01-22,W,24,7,3,7,42.9,1,3,33.3,0,0,-,1,3,4,0,0,1,2,2,11,2020-21
356,Patrick Beverley,LAC,vs.OKC,2021-01-22,W,30,1,0,2,0.0,0,2,0.0,1,2,50.0,1,7,8,2,3,0,0,4,23,2020-21
357,Aleksej Pokusevski,OKC,@LAC,2021-01-22,L,15,3,1,4,25.0,1,4,25.0,0,0,-,0,0,0,3,0,1,1,2,-9,2020-21
358,Theo Maledon,OKC,@LAC,2021-01-22,L,19,5,2,7,28.6,1,2,50.0,0,0,-,0,5,5,2,1,0,1,4,-8,2020-21
359,Lou Williams,LAC,vs.OKC,2021-01-22,W,20,9,3,8,37.5,0,3,0.0,3,3,100,0,1,1,8,0,0,1,0,8,2020-21
360,Serge Ibaka,LAC,vs.OKC,2021-01-22,W,28,17,7,8,87.5,1,2,50.0,2,2,100,4,7,11,1,0,0,1,2,0,2020-21
361,Nicolas Batum,LAC,vs.OKC,2021-01-22,W,33,14,5,6,83.3,4,4,100,0,0,-,1,0,1,2,1,2,2,2,-1,2020-21
362,Paul George,LAC,vs.OKC,2021-01-22,W,35,29,10,19,52.6,3,7,42.9,6,6,100,0,7,7,5,1,0,5,3,17,2020-21
363,Kawhi Leonard,LAC,vs.OKC,2021-01-22,W,37,31,10,21,47.6,1,7,14.3,10,10,100,1,7,8,2,3,2,2,2,2,2020-21
364,Myles Turner,IND,vs.ORL,2021-01-22,W,42,22,9,14,64.3,3,6,50.0,1,1,100,1,8,9,1,0,3,2,3,8,2020-21
365,Domantas Sabonis,IND,vs.ORL,2021-01-22,W,45,18,7,13,53.8,1,5,20.0,3,4,75.0,2,9,11,9,5,0,3,2,2,2020-21
366,Malcolm Brogdon,IND,vs.ORL,2021-01-22,W,37,23,8,18,44.4,2,5,40.0,5,5,100,0,3,3,6,0,0,4,3,8,2020-21
367,Goga Bitadze,IND,vs.ORL,2021-01-22,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,2020-21
368,Cole Anthony,ORL,@IND,2021-01-22,L,36,9,3,7,42.9,1,1,100,2,2,100,1,4,5,2,1,1,1,2,-12,2020-21
369,Nikola Vucevic,ORL,@IND,2021-01-22,L,41,24,10,29,34.5,4,9,44.4,0,0,-,3,9,12,2,2,0,3,3,-10,2020-21
370,Terrence Ross,ORL,@IND,2021-01-22,L,33,12,4,9,44.4,1,5,20.0,3,4,75.0,0,4,4,2,2,0,0,0,6,2020-21
371,Jeremy Lamb,IND,vs.ORL,2021-01-22,W,28,22,7,14,50.0,1,5,20.0,7,8,87.5,3,4,7,1,1,0,0,3,-7,2020-21
372,Evan Fournier,ORL,@IND,2021-01-22,L,36,26,8,14,57.1,4,8,50.0,6,12,50.0,1,3,4,9,0,0,1,0,3,2020-21
373,Justin Holiday,IND,vs.ORL,2021-01-22,W,25,9,4,6,66.7,1,3,33.3,0,0,-,0,4,4,1,0,1,0,6,10,2020-21
374,Aaron Gordon,ORL,@IND,2021-01-22,L,37,17,6,10,60.0,4,7,57.1,1,2,50.0,2,7,9,9,0,2,6,5,6,2020-21
375,Aaron Holiday,IND,vs.ORL,2021-01-22,W,17,5,2,5,40.0,1,3,33.3,0,0,-,0,1,1,0,0,1,0,0,-9,2020-21
376,Edmond Sumner,IND,vs.ORL,2021-01-22,W,3,2,1,3,33.3,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-5,2020-21
377,T.J. McConnell,IND,vs.ORL,2021-01-22,W,31,6,3,7,42.9,0,0,-,0,0,-,1,2,3,6,3,0,1,0,0,2020-21
378,Doug McDermott,IND,vs.ORL,2021-01-22,W,36,13,5,13,38.5,3,7,42.9,0,0,-,1,5,6,4,0,0,0,1,6,2020-21
379,Gary Clark,ORL,@IND,2021-01-22,L,10,0,0,0,-,0,0,-,0,0,-,3,1,4,0,0,0,1,0,5,2020-21
380,Dwayne Bacon,ORL,@IND,2021-01-22,L,17,16,7,12,58.3,2,3,66.7,0,0,-,0,1,1,1,1,0,1,2,-5,2020-21
381,Khem Birch,ORL,@IND,2021-01-22,L,27,5,1,6,16.7,0,1,0.0,3,4,75.0,1,4,5,2,1,0,0,0,-3,2020-21
382,James Ennis III,ORL,@IND,2021-01-22,L,28,9,4,7,57.1,1,3,33.3,0,0,-,2,3,5,2,0,0,1,2,0,2020-21
383,Jalen Brunson,DAL,@SAS,2021-01-22,W,31,16,6,11,54.5,3,5,60.0,1,1,100,0,4,4,6,0,0,1,1,12,2020-21
384,Josh Green,DAL,@SAS,2021-01-22,W,17,2,1,4,25.0,0,2,0.0,0,0,-,1,5,6,1,1,0,0,0,14,2020-21
385,LaMarcus Aldridge,SAS,vs.DAL,2021-01-22,L,30,26,11,18,61.1,4,7,57.1,0,0,-,2,7,9,2,0,1,1,1,4,2020-21
386,Trey Burke,DAL,@SAS,2021-01-22,W,20,13,5,10,50.0,2,5,40.0,1,1,100,0,1,1,0,1,0,0,2,3,2020-21
387,Keldon Johnson,SAS,vs.DAL,2021-01-22,L,35,17,7,14,50.0,0,3,0.0,3,4,75.0,3,11,14,3,0,0,2,6,-1,2020-21
388,Kristaps Porzingis,DAL,@SAS,2021-01-22,W,33,21,7,14,50.0,3,5,60.0,4,4,100,1,7,8,1,1,2,0,4,24,2020-21
389,Tim Hardaway Jr.,DAL,@SAS,2021-01-22,W,38,21,8,12,66.7,2,6,33.3,3,4,75.0,0,2,2,0,0,0,1,2,6,2020-21
390,Devin Vassell,SAS,vs.DAL,2021-01-22,L,21,5,1,2,50.0,1,1,100,2,2,100,0,3,3,2,1,0,0,1,-19,2020-21
391,Luka Doncic,DAL,@SAS,2021-01-22,W,36,36,13,28,46.4,4,12,33.3,6,6,100,0,9,9,11,0,0,2,5,-6,2020-21
392,Wes Iwundu,DAL,@SAS,2021-01-22,W,24,2,0,3,0.0,0,1,0.0,2,2,100,1,3,4,1,0,0,0,5,3,2020-21
393,Jakob Poeltl,SAS,vs.DAL,2021-01-22,L,18,2,1,3,33.3,0,0,-,0,2,0.0,2,3,5,1,0,2,1,1,-7,2020-21
394,Willie Cauley-Stein,DAL,@SAS,2021-01-22,W,15,7,3,4,75.0,0,0,-,1,2,50.0,2,2,4,1,0,0,0,2,-16,2020-21
395,Patty Mills,SAS,vs.DAL,2021-01-22,L,37,13,5,12,41.7,1,4,25.0,2,2,100,0,2,2,2,1,0,1,1,14,2020-21
396,James Johnson,DAL,@SAS,2021-01-22,W,25,4,2,7,28.6,0,3,0.0,0,0,-,2,2,4,2,0,0,1,0,-15,2020-21
397,DeMar DeRozan,SAS,vs.DAL,2021-01-22,L,41,29,8,20,40.0,0,1,0.0,13,16,81.3,0,6,6,6,1,0,1,4,-5,2020-21
398,Rudy Gay,SAS,vs.DAL,2021-01-22,L,26,16,5,11,45.5,3,5,60.0,3,4,75.0,2,2,4,2,0,2,1,1,-2,2020-21
399,Tre Jones,SAS,vs.DAL,2021-01-22,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-8,2020-21
400,Lonnie Walker IV,SAS,vs.DAL,2021-01-22,L,29,9,3,9,33.3,3,7,42.9,0,0,-,0,6,6,3,0,0,0,2,4,2020-21
401,Dejounte Murray,SAS,vs.DAL,2021-01-22,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-5,2020-21
402,Jarred Vanderbilt,MIN,vs.ATL,2021-01-22,L,27,10,5,10,50.0,0,0,-,0,0,-,1,3,4,4,2,1,0,1,-10,2020-21
403,Clint Capela,ATL,@MIN,2021-01-22,W,30,13,5,11,45.5,0,0,-,3,6,50.0,7,12,19,0,1,10,0,0,14,2020-21
404,Danilo Gallinari,ATL,@MIN,2021-01-22,W,15,10,3,8,37.5,1,4,25.0,3,3,100,1,3,4,0,0,0,0,0,11,2020-21
405,Rajon Rondo,ATL,@MIN,2021-01-22,W,19,9,3,7,42.9,3,6,50.0,0,0,-,1,6,7,6,1,0,0,1,7,2020-21
406,Anthony Edwards,MIN,vs.ATL,2021-01-22,L,24,5,2,12,16.7,1,5,20.0,0,0,-,0,3,3,1,1,0,3,2,-13,2020-21
407,Naz Reid,MIN,vs.ATL,2021-01-22,L,25,13,6,7,85.7,1,2,50.0,0,0,-,0,8,8,2,1,4,0,3,-1,2020-21
408,Jarrett Culver,MIN,vs.ATL,2021-01-22,L,19,15,6,13,46.2,1,5,20.0,2,2,100,1,1,2,2,0,1,0,4,-15,2020-21
409,Cam Reddish,ATL,@MIN,2021-01-22,W,24,15,3,10,30.0,1,5,20.0,8,10,80.0,1,4,5,2,1,1,1,3,19,2020-21
410,Jordan McLaughlin,MIN,vs.ATL,2021-01-22,L,13,2,0,1,0.0,0,0,-,2,2,100,1,2,3,5,1,0,1,0,6,2020-21
411,Kevin Huerter,ATL,@MIN,2021-01-22,W,34,4,2,7,28.6,0,3,0.0,0,0,-,0,5,5,2,0,0,1,3,-2,2020-21
412,Jake Layman,MIN,vs.ATL,2021-01-22,L,13,7,3,5,60.0,0,2,0.0,1,1,100,1,1,2,1,1,0,0,1,5,2020-21
413,Jaylen Nowell,MIN,vs.ATL,2021-01-22,L,12,9,4,4,100,1,1,100,0,0,-,1,1,2,0,1,0,1,2,2,2020-21
414,Jaden McDaniels,MIN,vs.ATL,2021-01-22,L,23,4,2,9,22.2,0,2,0.0,0,1,0.0,2,3,5,0,0,1,0,0,-20,2020-21
415,Josh Okogie,MIN,vs.ATL,2021-01-22,L,19,3,1,4,25.0,1,3,33.3,0,0,-,0,1,1,1,2,0,1,2,1,2020-21
416,Malik Beasley,MIN,vs.ATL,2021-01-22,L,25,17,7,11,63.6,2,5,40.0,1,1,100,0,1,1,4,2,0,2,2,-12,2020-21
417,D'Angelo Russell,MIN,vs.ATL,2021-01-22,L,21,9,2,9,22.2,1,5,20.0,4,4,100,1,1,2,4,0,0,2,4,-11,2020-21
418,Ed Davis,MIN,vs.ATL,2021-01-22,L,6,0,0,2,0.0,0,0,-,0,0,-,2,1,3,1,0,1,0,0,-9,2020-21
419,Ricky Rubio,MIN,vs.ATL,2021-01-22,L,15,4,2,6,33.3,0,2,0.0,0,1,0.0,0,4,4,5,3,0,3,0,-13,2020-21
420,Onyeka Okongwu,ATL,@MIN,2021-01-22,W,4,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,1,0,-1,2020-21
421,De'Andre Hunter,ATL,@MIN,2021-01-22,W,27,11,4,7,57.1,1,4,25.0,2,2,100,0,3,3,2,4,0,3,2,11,2020-21
422,Brandon Goodwin,ATL,@MIN,2021-01-22,W,4,2,0,0,-,0,0,-,2,2,100,0,0,0,0,0,0,0,2,-1,2020-21
423,Trae Young,ATL,@MIN,2021-01-22,W,31,43,14,22,63.6,8,12,66.7,7,7,100,0,4,4,5,0,0,7,0,14,2020-21
424,Bruno Fernando,ATL,@MIN,2021-01-22,W,3,0,0,1,0.0,0,0,-,0,0,-,0,0,0,1,0,0,1,0,-5,2020-21
425,John Collins,ATL,@MIN,2021-01-22,W,28,4,2,8,25.0,0,0,-,0,0,-,3,4,7,2,0,1,1,3,9,2020-21
426,Solomon Hill,ATL,@MIN,2021-01-22,W,18,3,1,1,100,1,1,100,0,0,-,0,0,0,1,2,0,1,2,19,2020-21
427,Tony Snell,ATL,@MIN,2021-01-22,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-5,2020-21
428,Danny Green,PHI,vs.BOS,2021-01-22,W,25,5,2,7,28.6,1,6,16.7,0,0,-,0,3,3,1,1,1,0,1,6,2020-21
429,Seth Curry,PHI,vs.BOS,2021-01-22,W,27,15,6,10,60.0,3,5,60.0,0,0,-,0,0,0,1,1,0,2,4,18,2020-21
430,Joel Embiid,PHI,vs.BOS,2021-01-22,W,30,38,11,15,73.3,2,2,100,14,15,93.3,3,8,11,3,1,0,5,5,13,2020-21
431,Ben Simmons,PHI,vs.BOS,2021-01-22,W,36,15,7,10,70.0,0,0,-,1,3,33.3,1,2,3,11,2,1,2,5,9,2020-21
432,Tyrese Maxey,PHI,vs.BOS,2021-01-22,W,6,2,1,1,100,0,0,-,0,0,-,0,3,3,0,0,0,0,0,1,2020-21
433,Payton Pritchard,BOS,@PHI,2021-01-22,L,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,2,2020-21
434,Grant Williams,BOS,@PHI,2021-01-22,L,11,3,1,3,33.3,1,1,100,0,0,-,1,0,1,2,0,0,1,4,-14,2020-21
435,Dwight Howard,PHI,vs.BOS,2021-01-22,W,18,3,0,2,0.0,0,0,-,3,4,75.0,4,8,12,0,3,2,5,2,-1,2020-21
436,Marcus Smart,BOS,@PHI,2021-01-22,L,39,20,7,17,41.2,2,5,40.0,4,4,100,0,3,3,7,2,0,3,5,-2,2020-21
437,Tobias Harris,PHI,vs.BOS,2021-01-22,W,41,23,10,12,83.3,3,3,100,0,0,-,1,7,8,3,0,1,3,0,15,2020-21
438,Kemba Walker,BOS,@PHI,2021-01-22,L,29,19,8,16,50.0,1,7,14.3,2,3,66.7,0,3,3,5,3,0,1,0,-21,2020-21
439,Javonte Green,BOS,@PHI,2021-01-22,L,20,7,3,7,42.9,0,2,0.0,1,2,50.0,1,3,4,0,1,1,1,0,3,2020-21
440,Matisse Thybulle,PHI,vs.BOS,2021-01-22,W,21,9,4,8,50.0,1,3,33.3,0,0,-,1,3,4,0,0,2,0,2,5,2020-21
441,Robert Williams III,BOS,@PHI,2021-01-22,L,16,2,0,2,0.0,0,0,-,2,2,100,3,1,4,1,0,1,1,2,-3,2020-21
442,Shake Milton,PHI,vs.BOS,2021-01-22,W,18,6,2,7,28.6,0,2,0.0,2,2,100,0,0,0,2,1,0,1,3,-6,2020-21
443,Semi Ojeleye,BOS,@PHI,2021-01-22,L,18,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,2,1,0,0,1,-5,2020-21
444,Furkan Korkmaz,PHI,vs.BOS,2021-01-22,W,18,6,2,9,22.2,2,7,28.6,0,0,-,0,1,1,2,0,0,1,1,0,2020-21
445,Jeff Teague,BOS,@PHI,2021-01-22,L,18,3,1,5,20.0,1,3,33.3,0,0,-,0,0,0,2,2,0,1,0,-5,2020-21
446,Tristan Thompson,BOS,@PHI,2021-01-22,L,26,4,2,6,33.3,0,0,-,0,0,-,1,4,5,0,0,1,0,5,-6,2020-21
447,Jaylen Brown,BOS,@PHI,2021-01-22,L,36,42,16,28,57.1,5,8,62.5,5,7,71.4,4,5,9,3,1,1,3,1,-9,2020-21
448,Daniel Theis,BOS,@PHI,2021-01-22,L,24,7,2,3,66.7,1,1,100,2,2,100,0,2,2,1,0,1,0,3,0,2020-21
449,KZ Okpala,MIA,@TOR,2021-01-22,L,4,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,2020-21
450,Aron Baynes,TOR,vs.MIA,2021-01-22,W,23,3,1,5,20.0,1,3,33.3,0,0,-,5,1,6,1,2,2,2,4,5,2020-21
451,Gabe Vincent,MIA,@TOR,2021-01-22,L,24,8,4,10,40.0,0,5,0.0,0,0,-,0,2,2,0,1,1,4,0,-9,2020-21
452,DeAndre' Bembry,TOR,vs.MIA,2021-01-22,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,1,0,0,0,0,2020-21
453,Paul Watson,TOR,vs.MIA,2021-01-22,W,2,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,0,2020-21
454,Yuta Watanabe,TOR,vs.MIA,2021-01-22,W,6,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,1,-3,2020-21
455,Matt Thomas,TOR,vs.MIA,2021-01-22,W,3,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,1,0,0,2020-21
456,Malachi Flynn,TOR,vs.MIA,2021-01-22,W,14,3,1,5,20.0,1,4,25.0,0,0,-,0,1,1,3,0,0,1,2,0,2020-21
457,Jalen Harris,TOR,vs.MIA,2021-01-22,W,2,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,1,1,2,2020-21
458,Precious Achiuwa,MIA,@TOR,2021-01-22,L,12,4,2,2,100,0,0,-,0,0,-,0,1,1,1,1,2,2,1,-17,2020-21
